user_id,signup_date,country,platform,acquisition_channel
1,2026-04-13,UAE,Web,Direct
2,2026-06-29,USA,Android,LinkedIn
3,2026-04-03,Germany,iOS,Organic
4,2026-01-15,India,iOS,Referral
5,2026-04-17,India,Android,Organic
6,2026-03-13,India,iOS,Referral
7,2026-01-21,USA,iOS,Referral
8,2026-04-13,UK,Android,LinkedIn
9,2026-05-02,UK,Web,Direct
10,2026-03-16,Germany,Web,LinkedIn
11,2026-03-29,USA,Android,Paid Search
12,2026-04-27,India,Android,Organic
13,2026-04-10,India,Android,Direct
14,2026-04-14,UAE,Web,Organic
15,2026-06-01,UAE,Android,Organic
16,2026-05-11,USA,Web,Organic
17,2026-05-30,Germany,Web,Referral
18,2026-02-22,India,Web,Organic
19,2026-01-02,UK,Web,Direct
20,2026-03-29,USA,Web,Direct
21,2026-06-07,UAE,Web,Direct
22,2026-02-07,India,Web,Organic
23,2026-05-10,UAE,Web,Direct
24,2026-01-21,India,Android,Direct
25,2026-06-10,Germany,iOS,Direct
26,2026-02-27,India,Web,LinkedIn
27,2026-01-22,UAE,Web,LinkedIn
28,2026-03-30,UK,iOS,Organic
29,2026-02-18,Germany,Web,Direct
30,2026-02-28,India,Web,Organic
31,2026-06-19,India,iOS,Paid Search
32,2026-01-15,India,Android,Direct
33,2026-06-24,India,Web,Paid Search
34,2026-02-20,India,Web,Organic
35,2026-04-18,UK,Web,Direct
36,2026-02-24,India,iOS,Direct
37,2026-03-05,India,Web,Organic
38,2026-05-11,USA,Web,Direct
39,2026-02-20,UAE,Web,Paid Search
40,2026-05-15,UAE,Android,Paid Search
41,2026-01-21,India,iOS,Organic
42,2026-03-14,Germany,iOS,Organic
43,2026-06-16,India,Android,Organic
44,2026-01-18,Germany,Web,Organic
45,2026-05-12,USA,Android,Direct
46,2026-03-30,India,iOS,LinkedIn
47,2026-03-01,Germany,Web,Direct
48,2026-01-14,India,Android,LinkedIn
49,2026-01-09,India,Android,Organic
50,2026-03-31,USA,Android,Direct
51,2026-02-22,USA,Web,Direct
52,2026-05-10,UK,Android,Paid Search
53,2026-03-25,India,Android,Organic
54,2026-04-02,UAE,Web,LinkedIn
55,2026-04-21,USA,Web,LinkedIn
56,2026-06-21,India,Web,Direct
57,2026-01-08,India,Android,Organic
58,2026-06-24,India,iOS,Organic
59,2026-02-04,India,Web,Referral
60,2026-03-22,Germany,Web,Referral
61,2026-06-13,UAE,Web,Organic
62,2026-02-19,Germany,iOS,Paid Search
63,2026-04-14,UAE,Web,Referral
64,2026-05-12,USA,Android,LinkedIn
65,2026-01-02,India,iOS,Paid Search
66,2026-05-14,UAE,Android,Paid Search
67,2026-02-23,India,Web,Direct
68,2026-04-16,India,Web,Direct
69,2026-01-04,UK,Web,Organic
70,2026-02-23,Germany,Web,Organic
71,2026-05-26,USA,Web,Direct
72,2026-02-13,India,Android,Paid Search
73,2026-06-11,India,Web,LinkedIn
74,2026-01-14,India,Web,Referral
75,2026-04-05,UK,Web,Organic
76,2026-02-17,USA,Web,LinkedIn
77,2026-01-15,Germany,Android,LinkedIn
78,2026-02-09,India,Web,Referral
79,2026-03-23,UK,Web,Organic
80,2026-04-21,UAE,iOS,Direct
81,2026-02-22,USA,Web,Paid Search
82,2026-01-24,UK,Web,Referral
83,2026-06-03,USA,Web,Direct
84,2026-05-04,USA,Web,Paid Search
85,2026-02-10,India,Web,LinkedIn
86,2026-06-06,USA,Web,Direct
87,2026-01-15,India,Android,Paid Search
88,2026-02-14,USA,Web,Paid Search
89,2026-03-06,UAE,Android,Direct
90,2026-03-30,UK,Android,Organic
91,2026-03-12,Germany,Web,Organic
92,2026-01-09,Germany,Web,Direct
93,2026-03-29,USA,Web,Direct
94,2026-05-09,UK,iOS,Direct
95,2026-05-16,USA,iOS,Organic
96,2026-03-04,UK,iOS,Organic
97,2026-05-19,Germany,Web,Organic
98,2026-03-22,UAE,Android,LinkedIn
99,2026-05-16,Germany,Web,Referral
100,2026-06-12,Germany,Web,Paid Search
101,2026-06-12,USA,Web,Organic
102,2026-02-02,India,Web,Referral
103,2026-05-03,India,Web,Referral
104,2026-01-05,Germany,Android,Organic
105,2026-02-10,India,Android,Direct
106,2026-01-28,Germany,Android,Organic
107,2026-05-15,UAE,Web,LinkedIn
108,2026-03-13,UAE,iOS,Direct
109,2026-01-12,Germany,Web,Referral
110,2026-06-11,UK,Web,Organic
111,2026-02-02,UK,Web,Paid Search
112,2026-02-17,UK,Web,Direct
113,2026-05-31,UAE,Web,Organic
114,2026-03-03,USA,Web,LinkedIn
115,2026-02-06,India,iOS,Direct
116,2026-04-09,Germany,Android,Direct
117,2026-06-21,Germany,Web,Referral
118,2026-04-14,India,Android,Direct
119,2026-02-04,USA,Android,Direct
120,2026-04-11,UK,Web,Paid Search
121,2026-06-24,India,iOS,Organic
122,2026-05-11,Germany,Web,Organic
123,2026-01-01,India,Android,Organic
124,2026-01-05,India,iOS,Direct
125,2026-05-22,UK,Android,Referral
126,2026-04-13,UK,iOS,Direct
127,2026-01-27,UK,Android,LinkedIn
128,2026-05-17,USA,Android,LinkedIn
129,2026-01-15,UK,Web,Referral
130,2026-03-31,UK,Web,Organic
131,2026-02-11,India,Web,Direct
132,2026-05-04,UAE,Web,Paid Search
133,2026-06-28,India,Web,Referral
134,2026-03-04,India,Android,Organic
135,2026-04-06,UK,Web,Direct
136,2026-02-21,India,Android,Direct
137,2026-04-06,India,Android,Referral
138,2026-05-12,India,iOS,Referral
139,2026-05-31,Germany,Android,LinkedIn
140,2026-05-23,Germany,Web,Organic
141,2026-06-20,UK,Android,Organic
142,2026-01-29,Germany,Web,LinkedIn
143,2026-02-05,USA,Web,Organic
144,2026-01-13,UK,Web,Paid Search
145,2026-06-09,India,Web,Paid Search
146,2026-03-12,USA,iOS,Paid Search
147,2026-03-27,USA,Web,Organic
148,2026-01-28,UK,Web,Paid Search
149,2026-03-07,USA,Android,Paid Search
150,2026-06-19,UK,iOS,Paid Search
151,2026-02-14,USA,Web,LinkedIn
152,2026-03-03,Germany,iOS,Direct
153,2026-05-14,UAE,Android,Organic
154,2026-01-28,USA,Android,Direct
155,2026-01-28,UAE,Web,Organic
156,2026-04-18,USA,Web,Referral
157,2026-02-13,USA,Web,Referral
158,2026-03-25,India,Web,Referral
159,2026-01-30,UK,Android,LinkedIn
160,2026-03-16,India,Web,Paid Search
161,2026-05-08,USA,Android,Paid Search
162,2026-04-02,UAE,Web,Direct
163,2026-05-09,USA,Android,Organic
164,2026-05-01,India,Web,Organic
165,2026-01-27,UK,Android,Organic
166,2026-05-01,India,Android,Organic
167,2026-04-26,Germany,Android,Referral
168,2026-01-03,Germany,Web,Referral
169,2026-04-13,Germany,Web,Organic
170,2026-06-04,USA,iOS,Organic
171,2026-05-17,USA,Web,LinkedIn
172,2026-03-03,India,Web,LinkedIn
173,2026-06-14,India,Web,Direct
174,2026-02-20,UAE,Web,Direct
175,2026-06-21,USA,Web,Direct
176,2026-06-01,Germany,Web,LinkedIn
177,2026-02-28,India,Web,Referral
178,2026-04-28,Germany,Web,Organic
